tools	FP	Fusions
GFHunter RF	2	GLCCI1:UMAD1; EFCAB11:FOXN3
GFHunter SF	5	SLX1B:SULT1A3; ENSG00000262633:LRRC37A2; ENSG00000257207:ENSG00000284337; GTF2H2:GTF2H2C; FAHD2B:GPAT2
LongGF	8	LUZP2:RBMS3; PRRG1:TSPAN7; IPO11:KIF2A; NTM:OPCML; ENSG00000283563:LUZP2; FIP1L1:PDGFRA; PCDH11X:PCDH11Y; POLR3B:RIC8B
JAFFAL HC	7	RP11-444D3.1:SOX5; RP11-3B12.2:RP11-807H17.1; GOPC:ROS1; DSCR4:KCNJ6; GSE1:RP11-680G10.1; CCDC26:LINC00977; POT1-AS1:RP11-3B12.2
JAFFAL HC+LC	2	POT1-AS1:RP11-807H17.1; NAV3:RP1-34H18.1
fusionseeker	89	ENSG00000283549:UMAD1; CHN2:CPVL; ENSG00000237813:TES; CAV2:ENSG00000243243; ENSG00000242593:TMEM229A; DPP6:ENSG00000287744; ENSG00000285971:NKAIN3; ENSG00000285579:XKR9; ENSG00000254180:LINC00534; ENSG00000264545:MTAP; ENSG00000260412:LINGO2; ENSG00000237461:STX17-DT; DELEC1:ENSG00000228714; ENSG00000284977:ENSG00000285082; KCNC1:SERGEF; ENSG00000285283:PAX6; ENSG00000289465:RDX; ENSG00000247416:NCAM1; NTM:OPCML; MYRFL:PRANCR; TPH2:TRHDE; ENSG00000257545:POLR3B; EDNRB:OBI1-AS1; ENSG00000278177:GPC6; ENSG00000258661:ENSG00000283098; ENSG00000258637:NRXN3; ENSG00000259053:FOXN3; ENSG00000286110:PWRN1; ALDH1A2:LIPC; ENSG00000259199:LINC02251; ENSG00000260364:LINC00922; ENSG00000260971:ENSG00000284686; ENSG00000231252:NFIA; DYNLRB2-AS1:ENSG00000260706; ABHD15-AS1:EFCAB5; ASIC2:ENSG00000263571; BCAS3:ENSG00000267131; ENSG00000263745:ENSG00000266602; ENSG00000285550:LINC01478; TXNL1:WDR7; ENSG00000270792:JAG1; DONSON:ENSG00000249209; ENSG00000289084:PHEX; ENSG00000233928:ENSG00000287700; ENSG00000233571:ENSG00000233928; PRRG1:TSPAN7; ENSG00000273974:FTX; PCDH11X:PCDH11Y; XG:XGY2; ENSG00000287921:SLC35F3; LINC00298:LINC00299; ENSG00000231918:NRXN1; ENSG00000271955:ENSG00000285673; ACOXL:MIR4435-2HG; ENSG00000284604:PLEKHB2; MMADHC:MMADHC-DT; CACNB4:ENSG00000283228; ENSG00000283839:ZNF804A; SATB1:TBC1D5; ENSG00000282987:SGO1-AS1; ENSG00000283563:LUZP2; LUZP2:RBMS3; ENSG00000283563:RBMS3; CFAP20DC-DT:FHIT; CLDN11:ENSG00000285218; C1QTNF7-AS1:CPEB2; ENSG00000248515:LINC02438; ENSG00000286596:PCDH7; FIP1L1:PDGFRA; TMPRSS11F:UBA6-DT; ENSG00000248511:GRID2; DKK2:ENSG00000286147; ENSG00000250855:LINC02945; MAML3:MGST2; ANAPC10:ENSG00000285783; PART1:PDE4D; ENSG00000288643:KIF2A; ENSG00000284762:ENSG00000285000; ENSG00000286577:KIAA0825; NREP:STARD4-AS1; LINC02147:LINC02208; ADAMTS19:ENSG00000251680; ENSG00000250167:SLC25A48; ENSG00000286749:LINC01470; ENSG00000285216:HULC; CARMIL1:CMAHP; KCNQ5:KCNQ5-DT; ENSG00000282218:ROS1; NKAIN2:RNF217-AS1
Genion	46	KRIT1:LRRD1; AC000120.2:KRIT1; CDKL3:PPP2CA; FAS:STAMBPL1; NDUFB5:USP13; MUTYH:TESK2; CNKSR3:IPCEF1; BCAP29:DUS4L; PET100:STXBP2; CD209:CLEC4G; A4GALT:CYB5R3; DNAJC5:TPD52L2; HSBP1:MLYCD; DDX58:TOPORS; HPS1:PYROXD2; AC005666.1:SEPT4; MND1:TRIM2; CCR6:FGFR1OP; C1orf74:IRF6; LDB3:OPN4; C12orf10:PFDN5; ADIG:ARHGAP40; MED20:USP49; MRPS25:RBSN; SNX14:SYNCRIP; NKX2-1:SFTA3; DCAF7:TACO1; COQ8A:PSEN2; CEP63:EPHB1; CFAP298:TCP10L; C1QA:C1QC; KCNE1:RCAN1; EXO1:WDR64; CRELD1:IL17RC; PF4:PPBP; ARHGAP11A:SCG5; IMPDH2:QRICH1; EXOSC4:GPAA1; HIGD1C:METTL7A; TBC1D26:ZNF286A; BX255925.3:NDOR1; ZNF345:ZNF568; CTNND1:SELENOH; CTNND1:TMX2; GAGE12B:GAGE2E; NXF2:TCP11X1
ctat-LR-fusion	21	FIP1L1:PDGFRA; ANAPC10:ENSG00000285783; ENSG00000267243:ENSG00000283269; ENSG00000267243:ENSG00000290606; CLDN11:SLC7A14-AS1; IPO11:KIF2A; ENSG00000232900:JAG1; ENSG00000284977:TLR4; PRRG1:TSPAN7; GOPC:ROS1; ENSG00000283886:ENSG00000288891; ENSG00000282863:LINC00595; ATP5PO:DONSON; ENSG00000254485:SRGAP3; ENSG00000260971:ENSG00000284686; CDKN2B-AS1:MTAP; SATB1:TBC1D5; POLR3B:RIC8B; TPH2:TRHDE; ENSG00000227681:SAMD5; EFCAB11:FOXN3
